topic,question,category,mean_freq,min_freq
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
1,Can vitamin D cure COVID-19?,harmful,1.555e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
2,Can vitamin C cure COVID-19?,harmful,8.17e-05,1.02e-05
4,Can ibuprofen worsen COVID-19?,harmful,1.0005e-06,8.51e-07
6,Can Ginger cure COVID-19?,harmful,1.4704999999999999e-05,8.51e-06
6,Can Ginger cure COVID-19?,harmful,1.4704999999999999e-05,8.51e-06
6,Can Ginger cure COVID-19?,harmful,1.4704999999999999e-05,8.51e-06
6,Can Ginger cure COVID-19?,harmful,1.4704999999999999e-05,8.51e-06
6,Can Ginger cure COVID-19?,harmful,1.4704999999999999e-05,8.51e-06
6,Can Ginger cure COVID-19?,harmful,1.4704999999999999e-05,8.51e-06
6,Can Ginger cure COVID-19?,harmful,1.4704999999999999e-05,8.51e-06
