question,category,bias_label,bias_score
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin D cure COVID-19?,harmful,Non-biased,0.5935671925544739
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
Can vitamin C cure COVID-19?,harmful,Non-biased,0.6303857564926147
